Month,SerieA,Bundesliga,MLB,eredivisie
2004-01,4,3,6,<1
2004-02,4,5,7,<1
2004-03,4,6,11,1
2004-04,3,6,19,<1
2004-05,3,6,16,<1
2004-06,2,3,18,<1
2004-07,2,4,20,<1
2004-08,4,6,16,1
2004-09,6,4,19,1
2004-10,5,7,30,1
2004-11,5,5,7,1
2004-12,4,4,9,1
2005-01,4,4,7,<1
2005-02,5,6,7,1
2005-03,4,5,11,1
2005-04,5,5,21,1
2005-05,5,4,19,<1
2005-06,3,3,23,<1
2005-07,3,4,24,<1
2005-08,5,7,21,1
2005-09,6,6,22,1
2005-10,5,5,23,1
2005-11,4,5,7,1
2005-12,4,5,10,1
2006-01,5,4,8,1
2006-02,5,7,8,1
2006-03,4,7,12,1
2006-04,4,6,23,1
2006-05,3,6,22,<1
2006-06,2,3,23,<1
2006-07,4,5,27,<1
2006-08,3,10,23,1
2006-09,8,6,21,1
2006-10,6,7,22,1
2006-11,5,8,9,1
2006-12,5,6,8,1
2007-01,4,5,7,1
2007-02,6,9,8,1
2007-03,4,8,13,1
2007-04,6,9,27,2
2007-05,5,9,22,1
2007-06,3,4,28,<1
2007-07,3,4,27,<1
2007-08,6,11,27,1
2007-09,9,10,27,1
2007-10,7,7,27,1
2007-11,6,6,9,1
2007-12,6,6,10,1
2008-01,6,3,7,1
2008-02,7,8,9,1
2008-03,8,9,14,1
2008-04,7,8,25,1
2008-05,7,7,22,<1
2008-06,3,3,25,<1
2008-07,4,4,28,<1
2008-08,6,8,23,1
2008-09,11,7,23,1
2008-10,9,8,23,1
2008-11,10,10,8,1
2008-12,7,7,9,1
2009-01,9,4,8,1
2009-02,9,9,9,2
2009-03,8,8,12,1
2009-04,8,10,25,1
2009-05,9,14,25,1
2009-06,3,3,28,<1
2009-07,5,4,30,1
2009-08,9,14,26,2
2009-09,12,9,22,1
2009-10,11,9,26,1
2009-11,10,9,12,1
2009-12,8,8,9,1
2010-01,12,8,7,1
2010-02,11,11,8,2
2010-03,13,11,11,2
2010-04,13,12,26,2
2010-05,9,7,24,1
2010-06,3,3,28,<1
2010-07,5,4,31,<1
2010-08,7,9,28,2
2010-09,14,12,27,2
2010-10,12,12,31,2
2010-11,14,12,9,2
2010-12,10,9,9,2
2011-01,14,9,6,2
2011-02,15,14,8,2
2011-03,11,10,13,2
2011-04,13,14,31,3
2011-05,11,8,27,3
2011-06,4,4,31,<1
2011-07,5,4,35,1
2011-08,6,13,32,3
2011-09,14,10,32,2
2011-10,15,10,30,2
2011-11,12,10,8,2
2011-12,13,9,9,2
2012-01,14,7,8,1
2012-02,15,13,8,2
2012-03,13,13,13,3
2012-04,18,16,32,3
2012-05,12,6,30,2
2012-06,4,3,35,<1
2012-07,5,3,37,1
2012-08,8,7,31,2
